input,task_clock_msec,context_switches,cpu_migrations,page_faults,major_faults,dtlb_load_misses,cache_misses,cpu_cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
1000,,945,11,11027,0,190144,1286175,2617405324,4021186447,,,1.026958489,1.485968,0.090998,1.5363254632854104
1000,,822,13,11249,0,183586,1335778,2648712157,4061564888,,,1.021229922,1.461168,0.107497,1.5334112003322526
1000,,1047,9,11938,0,194438,1364888,2696556372,4073675229,,,1.044043771,1.547743,0.104658,1.510695371066398
1000,,975,13,11805,0,188330,1276892,3614217906,4337034682,,,1.514123052,1.959819,0.106609,1.1999925834023577
1000,,986,12,11699,0,192347,1394994,3647166667,4303009760,,,1.551224393,2.002886,0.109122,1.1798226275026438
2000,,1029,23,15872,0,243447,1475918,6604420038,12920170668,,,3.00623397,3.512709,0.119534,1.9562914826223838
2000,,1007,11,15831,0,241350,1524084,6881788544,13203543300,,,3.141262061,3.611689,0.13166,1.918620895655349
2000,,1005,14,15761,0,243401,1463591,6565732074,12903710830,,,2.992878945,3.493567,0.11205,1.965311816651506
2000,,1069,12,15466,0,239574,1508051,10979210086,14260825107,,,5.225369921,5.675671,0.126259,1.2988935447354732
2000,,914,12,15314,0,234165,1387639,6533946687,12880734737,,,2.992011278,3.470994,0.106907,1.9713559589685095
3000,,1082,11,24515,0,326907,1895261,14081532652,28303001066,,,6.486927556,7.197014,0.153234,2.0099375377281907
3000,,1163,16,24289,0,327174,1803761,14217135831,28747368221,,,6.588865227,7.267144,0.156153,2.0220224778550193
3000,,1316,13,20718,0,294481,1688888,23706032614,31096612822,,,11.474492534,12.041457,0.13705,1.3117594718753305
3000,,1089,20,21636,0,304807,1809080,14012313021,28907704152,,,6.563769491,7.150792,0.137649,2.0630215802827516
3000,,1190,19,23595,0,318450,1822661,23991475050,31378302436,,,11.466253358,12.155417,0.161005,1.307893840233054
4000,,1387,14,24539,0,347751,1912550,22543831276,48591188264,,,10.87994752,11.39003,0.148182,2.1554095073329362
4000,,1345,17,24295,0,352105,1729555,22511881202,48531458080,,,10.898808085,11.35518,0.167046,2.155815306794013
4000,,1383,18,24522,0,355135,1826634,22522858827,48560798029,,,10.888372668,11.441459,0.142067,2.156067238266671
4000,,1572,11,23402,0,347024,1689126,41229703056,54930806473,,,20.288846838,20.814869,0.140005,1.332311474530645
4000,,1250,13,24154,0,341543,1827550,23167750536,50089468474,,,11.221873021,11.66939,0.153057,2.162034177472982
5000,,1551,13,28275,0,399584,1882939,34356703545,74956102984,,,16.88103816,17.371702,0.180059,2.181702411752728
5000,,1608,14,27860,0,402100,1910482,35540240930,76535921255,,,17.41407561,17.963668,0.156944,2.1535003492448186
5000,,1969,9,28068,0,420403,2020297,62807037411,84290605985,,,31.023819391,31.63065,0.216983,1.3420567098781413
5000,,1939,15,26264,0,404402,1788903,62874773565,84052323470,,,31.173333289,31.642234,0.173077,1.336821092216048
5000,,1621,9,29397,0,414240,2010894,34576397302,75182692141,,,16.873265072,17.603139,0.186128,2.17439345933971
6000,,1784,11,32125,0,456881,2228854,51275682462,115046446741,,,25.20360757,26.034785,0.216039,2.2436843590772293
6000,,1911,26,30751,0,447889,2063616,48664998315,110159200757,,,24.052104004,24.521376,0.187033,2.263622820737788
6000,,2271,18,29171,0,461470,1910332,90759993782,125245115561,,,45.14393311,45.669898,0.209921,1.3799594991360529
6000,,2279,23,29883,0,453901,2044933,88981122153,120508708612,,,44.22812774,44.747592,0.211993,1.3543176990372114
6000,,1714,22,32223,0,458054,2218631,48608421003,108230113228,,,23.928400241,24.563723,0.201973,2.226571260591252
7000,,1900,10,39497,0,548193,2790138,69456424094,159263093484,,,34.060087135,34.932488,0.25296,2.292992988934453
7000,,1891,16,33298,0,482427,2163816,67293271339,148622734466,,,33.264487554,33.850285,0.196978,2.2085823962590636
7000,,1884,10,34828,0,492293,2269763,64397418861,157021820863,,,31.831015305,32.389358,0.25985,2.4383247595983177
7000,,1802,14,33323,0,473778,2293704,65160140900,148820409325,,,32.145887729,32.799533,0.210105,2.2839178563685394
7000,,1850,15,36780,0,548402,2434731,65272874156,156501659636,,,32.074346755,32.882237,0.222021,2.3976523427169183
8000,,2706,208,41897,0,586665,2940018,87230816232,194174783874,,,43.076541235,43.915814,0.287038,2.225988386461623
8000,,2237,11,40609,0,576077,2697358,85804762271,194266362439,,,42.327172068,43.22454,0.228023,2.2640510537800007
8000,,3134,11,38080,0,582412,2578420,150950395554,219955678924,,,75.156956975,75.868019,0.278952,1.4571388045506282
8000,,3095,13,36780,0,578558,2505537,150082943055,221181577003,,,74.834638686,75.362151,0.247984,1.47372894281494
8000,,3173,22,40850,0,642696,2617594,158977903132,216131929006,,,79.096609429,79.82451,0.265054,1.3595092446687058
9000,,4380,177,42183,0,689598,2768385,189236527267,276611397787,,,94.403414935,95.052521,0.30196,1.4617230710259228
9000,,2961,169,40490,0,595145,2873375,111792896241,248976201586,,,55.540661522,56.20479,0.278914,2.2271200582303914
9000,,3015,212,42060,0,635478,3264576,110817024719,246420690484,,,54.935200674,55.76641,0.288867,2.2236717788521374
9000,,3012,122,43006,0,636708,3129031,111216182227,245762938858,,,55.297480432,55.888156,0.270976,2.209776796297329
9000,,4160,173,41294,0,669582,3623640,189194484360,276441921792,,,94.39146787,94.931729,0.29398,1.4611521193502937
10000,,3352,250,45899,0,694060,3620566,132324728641,298971294188,,,65.840568611,66.454809,0.263046,2.2593758344225736
10000,,4875,188,46832,0,774702,4352557,246493929472,333763953477,,,123.072707941,123.622788,0.38682,1.354045327574338
10000,,3271,189,45846,0,704030,3530868,132340994295,298987903886,,,65.868189277,66.482984,0.2571,2.2592236478103604
10000,,4707,181,44030,0,727485,3927034,232089794917,341617283908,,,115.870772916,116.531953,0.282072,1.4719185909495471
10000,,3328,217,44926,0,660591,3641992,135227974138,303818526009,,,67.223429958,67.922091,0.295961,2.246713580867177
