input,thread,task_clock_msec,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
1000,1,710.5,655,8,7749,1069347418,1254013526,122660900,11236355,0.424502421,0.636057,0.076126,1.1726904698057634
1000,1,668.49,648,7,7708,1054337943,1248449236,121569133,10806568,0.410830072,0.604843,0.065015,1.1841072820045517
1000,1,716.96,659,12,7794,1132897261,1259539673,124611882,12908033,0.427308668,0.630077,0.090011,1.1117863166940785
1000,1,704.73,646,7,7762,1079118381,1259037612,123792678,11295873,0.414638026,0.642945,0.063488,1.1667279829236825
1000,1,713.09,639,7,7737,1123194951,1241777106,121279878,12736682,0.429849806,0.636042,0.078881,1.1055757550320398
1000,2,1093.37,933,17,8657,1603654416,1406036415,153342407,16908175,0.415754268,1.004516,0.090327,0.8767702074534742
1000,2,1134.31,830,16,8946,1689908987,1433963185,157591268,16231259,0.42230912,1.044369,0.091715,0.8485446234271077
1000,2,1100.3,717,10,8913,1694462803,1429096484,158229081,15891269,0.385878765,1.019198,0.082258,0.8433920658924019
1000,2,997.0,714,11,7972,1514822895,1326466495,137107292,15473559,0.392860574,0.921387,0.077527,0.8756578075089101
1000,2,1052.54,752,15,9228,1683557148,1480720989,167102397,17866830,0.383568507,0.960628,0.093768,0.8795192909008397
1000,4,1667.48,1289,23,9399,2628215723,1525271249,175309538,17934713,0.411332481,1.564813,0.103987,0.5803447698954353
1000,4,1577.72,1115,27,9248,2580562322,1520529950,174895974,17808721,0.403149359,1.474533,0.107292,0.5892242698566379
1000,4,1613.38,1164,21,9365,2564723816,1498341149,170823330,18132545,0.411091074,1.527564,0.087402,0.5842115005337479
1000,4,1358.55,1134,23,8537,2212278265,1402676273,152939859,16023498,0.356926632,1.280825,0.078975,0.6340415196367714
1000,4,1649.6,1287,28,9355,2542622337,1491504632,170498953,18046752,0.410410443,1.53633,0.114875,0.586600931760791
1000,8,2627.21,2001,26,9898,4428911554,1648758998,199062293,19796152,0.427361383,2.511047,0.117955,0.3722718274901906
1000,8,2561.84,1926,27,9409,4393839332,1544103147,179123744,17809652,0.419388433,2.467124,0.096356,0.3514245811753774
1000,8,2429.5,2003,19,9115,4131395098,1555492836,181498447,17535842,0.421454021,2.331178,0.100541,0.3765054658541399
1000,8,2608.84,1840,22,9471,4550282078,1533194480,176742109,17773771,0.428647865,2.506353,0.104722,0.336944930823693
1000,8,2635.92,1924,25,9441,4535890203,1558799427,181982293,18273617,0.42866079,2.547294,0.090548,0.34365898583017357
1000,16,3565.56,2622,26,9773,6668291015,1511640927,173604972,14930235,0.377403025,3.448262,0.119282,0.2266909053008689
1000,16,2857.0,2811,35,9043,5000598099,1492247128,170203988,12758977,0.339667943,2.717243,0.145477,0.2984137294093708
1000,16,4360.95,2525,43,10243,8053187515,1606560429,190115410,19037388,0.428889089,4.252074,0.111269,0.19949373164446924
1000,16,3347.57,2496,27,10426,5944176098,1545836462,180061017,14969396,0.357185228,3.222905,0.128319,0.26005899497495
1000,16,3925.01,2759,30,9136,7210771213,1551149433,180019295,15615600,0.39993265,3.798421,0.131325,0.21511560791216022
1000,32,5168.42,3765,596,11245,9593944545,1774760866,223310868,12751750,0.35967085,4.982635,0.176189,0.1849876093900228
1000,32,4324.52,3349,572,11156,7835459859,1646902876,199099422,13785802,0.353805075,4.147131,0.165364,0.21018586089855687
1000,32,5323.13,3446,641,11654,10100028225,1724001882,212573902,12681215,0.360516544,5.150725,0.15986,0.17069277863329932
1000,32,5426.08,3406,548,11655,10320910816,1746897776,218480135,12591950,0.363377304,5.229799,0.184628,0.16925810203609845
1000,32,4861.23,3366,635,11501,9178806397,1657337946,201003104,11942970,0.346087425,4.649647,0.199758,0.18056137958653143
1000,64,5965.47,6277,1959,14613,11594104666,1998840082,267400765,13709807,0.392603421,5.719134,0.236179,0.172401417753425
1000,64,6336.81,7060,2181,13832,12234391024,2100802217,286772726,13643178,0.402151216,6.114982,0.21189,0.17171285541543438
1000,64,7819.85,7287,2263,16676,15261977189,2329312902,331424223,14953730,0.455869438,7.559564,0.250533,0.15262196196170713
1000,64,6247.79,7145,2197,13681,12082212482,2185263509,304149861,13809464,0.391411654,5.924915,0.318215,0.18086617101425678
1000,64,6574.92,7010,2185,13585,12864552717,2255465600,319089601,13987312,0.39290303,6.298738,0.270213,0.17532405903389792
1000,128,10506.6,14115,4207,18748,20581844159,2695519913,404132783,15665616,0.557861616,10.09491,0.400949,0.13096590821388115
1000,128,21051.99,14781,3819,18044,41645924736,3394184235,525027494,17973339,0.870443186,20.596788,0.446534,0.08150099335088036
1000,128,14109.08,15582,4851,25328,27850918509,7179663251,1350655584,27618378,0.693128095,13.63482,0.464111,0.25778910123484433
1000,128,12499.25,14394,4524,21005,24678967253,5478115717,992006876,23412266,0.616163675,12.065278,0.424622,0.2219750794609963
1000,128,15038.74,16496,4997,27131,29748203716,7236198831,1353209847,29244041,0.699417249,14.582779,0.445932,0.24324826130957372
2000,1,1375.55,698,12,11436,2525995322,3604879318,235349797,26039113,0.976809667,1.29611,0.080819,1.4271124283578542
2000,1,1332.22,842,10,9757,2164695394,3402759693,198414873,17924266,0.840535998,1.253227,0.081079,1.5719346483720564
2000,1,1337.21,879,10,9742,2169410880,3407371957,199236667,18059572,0.847098611,1.240654,0.100274,1.5706438961899185
2000,1,1292.18,701,17,8717,2163542389,3296095647,173348784,15658289,0.907296411,1.20363,0.090122,1.5234717210802935
2000,1,1308.89,667,13,8712,2191039863,3320928622,177880560,16132942,0.918787979,1.222013,0.090704,1.5156860804225358
2000,2,2326.87,830,11,11710,3958018842,4144496368,329614218,43948636,0.941927224,2.230845,0.097774,1.0471138550481918
2000,2,2938.29,810,15,11797,4997461071,4487906059,400142067,45884307,1.164906092,2.840862,0.10003,0.8980372223493804
2000,2,3011.24,880,16,12134,5242451472,4435557241,392796957,42015786,1.179874693,2.926365,0.087129,0.8460845588538812
2000,2,2477.4,1007,10,11882,4155552040,4237069295,347130626,42822151,0.985608935,2.385555,0.093903,1.0196164683332902
2000,2,3078.92,855,15,12049,5300812087,4441696587,393351376,41034700,1.211454536,2.988634,0.092204,0.8379275692290731
2000,4,3619.31,1595,19,11935,6184882522,4165561770,335599488,40620128,0.867589123,3.513958,0.107631,0.6735070157246876
2000,4,3630.63,1503,20,12578,6413778066,4277026585,360307077,44155394,0.857507725,3.531115,0.10209,0.6668497944562337
2000,4,3434.94,1574,19,11924,6178000103,4170783561,336160151,39370219,0.821666262,3.332995,0.10425,0.6751025398938877
2000,4,2842.63,1733,25,11807,4381765766,3819685248,268762386,32024336,0.705535489,2.72507,0.120091,0.8717228286456059
2000,4,2876.31,1684,29,11709,4772092271,3833818993,272485640,35569459,0.694931813,2.775076,0.103555,0.8033832489573
2000,8,3190.7,2440,27,10859,5515206858,3712530788,247994533,21429244,0.491916189,3.101844,0.091289,0.6731444320379107
2000,8,3222.22,2661,22,10436,5683560060,3695473840,244420416,20983048,0.497812068,3.109792,0.115509,0.6502040624164707
2000,8,3148.02,2593,23,10510,5445845669,3649354623,236879354,21161642,0.488690616,3.012565,0.139609,0.6701171580703493
2000,8,3041.69,2547,30,11014,5317260423,3685227975,244297388,21283756,0.456007191,2.909808,0.135293,0.6930689268216795
2000,8,2464.96,2440,26,10164,4249791744,3474247764,209113105,17664422,0.418949695,2.369667,0.097356,0.8175101212677212
2000,16,4523.18,4198,47,10561,8482290227,3667801484,238722118,15184761,0.445429034,4.389588,0.136737,0.432406978049986
2000,16,4254.24,3933,34,10515,7975404661,3679874097,241974751,14891595,0.434865738,4.099003,0.162827,0.461402806931504
2000,16,5401.17,3926,39,10683,10149654292,3722770359,250686091,18058240,0.495960546,5.285384,0.118716,0.3667878975872413
2000,16,5379.58,4241,44,11385,9981787404,3762669601,261646211,18993279,0.483264188,5.246395,0.136923,0.3769534902628948
2000,16,4203.85,3801,46,10492,7805878115,3537523016,219976494,13866176,0.424533781,4.065065,0.142212,0.45318706798690517
2000,32,6092.36,4239,633,12042,11780394914,3805842992,268747971,13088804,0.386818037,5.87968,0.199145,0.3230658241751368
2000,32,6931.82,4796,569,12255,13361439792,3768836398,263119304,13395311,0.425818844,6.70569,0.213531,0.2820681346224787
2000,32,6814.42,4073,561,11976,13134906930,3733295628,256515621,12443119,0.402685334,6.622282,0.182273,0.2842270331945169
2000,32,5678.25,4127,635,12314,10596253479,3685578760,248417363,14273122,0.401949708,5.502973,0.163295,0.3478190444673865
2000,32,6005.29,4400,724,11884,11281580152,3777971728,266608722,15108163,0.408112331,5.79346,0.201005,0.33487966021588217
2000,64,8782.5,7688,2287,15281,17128862196,4105777558,321219793,14637682,0.479442162,8.518841,0.252598,0.2396993747173001
2000,64,9341.22,8403,2536,15522,18249207951,4093488961,324194080,14767650,0.494041026,8.982134,0.349901,0.22431050004971254
2000,64,7896.88,8279,2650,13643,15384609755,3971221281,300849461,13985591,0.444412326,7.598539,0.286036,0.2581294777210291
2000,64,9556.88,8072,2427,15076,18664380876,4088156992,324180777,14966451,0.510804261,9.263171,0.285191,0.21903523182260204
2000,64,9213.22,9701,2632,14391,18007852671,4186878935,334669147,15515039,0.492604136,8.882829,0.313313,0.23250295365546753
2000,128,48614.83,27661,6042,25014,96608878840,7950772360,1047324784,28966578,1.740293559,48.018451,0.582944,0.08229856774518386
2000,128,15237.75,14969,5265,22390,30040775510,6850931679,886813535,22696664,0.6937929,14.823714,0.403625,0.2280544214552469
2000,128,19866.38,16173,5357,19920,39278580156,5143827294,510073711,17190456,0.856256553,19.435594,0.423032,0.13095756703960834
2000,128,21960.94,19982,5015,17964,43497520978,5165182527,507440325,17542736,0.894502818,21.527593,0.415532,0.11874659545799002
2000,128,12241.2,16417,4657,17639,24022072106,5248051673,553213591,18492287,0.582571886,11.820965,0.409106,0.21846790109705785
3000,1,2489.81,708,8,13051,4523299115,7213662510,356115727,38102581,1.875583759,2.396136,0.095164,1.5947790156256336
3000,1,2489.12,687,11,12952,4524089124,7219321476,357316623,38087382,1.879836696,2.389204,0.101795,1.5957513829031278
3000,1,2465.6,689,5,13061,4516011236,7212162931,355902703,37954829,1.887507281,2.367063,0.100426,1.5970205905395582
3000,1,2478.33,668,11,12925,4525118402,7189315282,351534471,37502169,1.888388915,2.378434,0.101676,1.5887573856238735
3000,1,2486.46,690,10,12971,4516745150,7212618558,355950230,38060168,1.875808159,2.384258,0.10388,1.5968619699519686
3000,2,4034.86,913,15,16700,7182646040,8118647629,524614370,58996736,1.660918793,3.923608,0.113843,1.1303143136648288
3000,2,3096.08,873,12,12550,5234595342,7280595275,368291306,35790236,1.32374521,2.991866,0.106066,1.3908611457668623
3000,2,2947.53,927,19,12350,4616269006,6940588422,296610330,29896278,1.31508766,2.83574,0.113949,1.503506059326041
3000,2,3238.17,902,18,12628,5480515779,7573840058,422719568,48900290,1.360262899,3.133268,0.10677,1.3819575316288857
3000,2,3224.26,894,19,13440,5439798415,7364785236,381923101,40947842,1.370075302,3.126068,0.099938,1.3538709845739751
3000,4,3899.74,2124,24,12534,6091694968,7152207673,342778782,37292601,0.909953854,3.768814,0.133596,1.1740915641001282
3000,4,3958.36,1998,24,12682,6298749295,7260596443,356923469,41138821,0.918404766,3.827779,0.133887,1.1527044660697199
3000,4,4951.65,1902,34,13607,7959649004,7590478685,426115526,43724416,1.162439497,4.827097,0.128508,0.9536197740862092
3000,4,4243.42,1886,33,12600,6083822328,7138251088,335005574,35665562,1.037228745,4.088867,0.15849,1.1733168233968847
3000,4,4493.2,1886,23,13143,7594616881,7462870542,401202821,42459623,1.081423056,4.375073,0.120002,0.982652668190597
3000,8,3848.55,3102,29,10737,6693488164,6775583056,272021462,21134773,0.574377625,3.743359,0.108806,1.0122648893952686
3000,8,4925.87,2901,29,12926,8601465134,7258048735,357499052,36158364,0.725640679,4.773575,0.15865,0.8438153991126787
3000,8,3811.18,2888,27,10669,6738838883,6763975425,270139597,22045403,0.577086251,3.706335,0.107835,1.003730099863852
3000,8,3922.46,3274,34,10964,6703768970,6777000208,272504397,20814470,0.585844979,3.782725,0.1477,1.0109238904753008
3000,8,3790.77,2992,23,10655,6638545519,6760938800,269854836,20982355,0.578455975,3.648087,0.148451,1.018436761584251
3000,16,5277.65,4874,46,12037,9618058443,7129212056,330813412,19880403,0.507154254,5.141685,0.139855,0.7412319334770339
3000,16,5222.34,5198,35,11402,10015518905,6979979171,299716648,16491093,0.485974971,5.077971,0.148881,0.6969163791918378
3000,16,4960.5,5360,50,11380,9298345869,6946393710,296027690,16496511,0.464278598,4.806225,0.158734,0.747056929034955
3000,16,5747.76,5311,34,11639,8206201843,6943171784,293800277,17063106,0.634674368,5.534349,0.223296,0.8460883508395078
3000,16,4940.86,4727,34,11907,9100352534,7022498129,310472634,17839884,0.484247581,4.811404,0.134379,0.7716731964792695
3000,32,10348.28,8524,630,13151,20162997937,7179755502,345263578,13782558,0.538396738,10.107539,0.222243,0.35608571326711436
3000,32,9658.97,7913,537,13910,18816839970,7185865099,346605719,13610030,0.499324485,9.433358,0.205269,0.3818847963024899
3000,32,9126.4,7236,565,13397,17736249221,7230473978,348954849,14371202,0.484242192,8.932602,0.176715,0.40766646250318833
3000,32,9602.12,7146,816,13252,18724856603,7310480916,363795341,14593702,0.496279569,9.334172,0.247128,0.39041585583244215
3000,32,10031.69,9086,469,12903,19450306550,7062395423,322403598,12897766,0.517530364,9.734697,0.280827,0.3630994403530365
3000,64,11316.88,11523,3366,16391,22169351715,7412272432,387683359,15032117,0.56023126,10.99434,0.308553,0.3343477304744452
3000,64,11850.79,8952,2510,16754,23231626528,7397383970,386381840,15178745,0.586574382,11.527859,0.312375,0.31841868502337867
3000,64,13057.77,14770,3568,16181,25627869569,7597466699,422431256,15277285,0.615820778,12.696498,0.33856,0.29645330754258453
3000,64,12768.43,12899,3376,17415,25038385789,7691228613,442400800,16396232,0.617358685,12.442276,0.30562,0.3071774945004223
3000,64,11329.34,10306,2969,16543,22223002270,7447645592,394624245,15665288,0.572583533,11.012991,0.299851,0.33513228777616466
3000,128,18861.11,17519,5585,23008,37243640161,9952771297,902086035,22784570,0.804117579,18.291383,0.562181,0.2672341171264492
3000,128,13754.56,20272,5386,18575,27045263690,8369379731,584244566,18445005,0.639131916,13.285199,0.452142,0.30945824107807024
3000,128,15900.24,18263,6167,18290,31364263194,8130314453,530133970,17882850,0.70605916,15.431272,0.456889,0.2592222365534585
3000,128,13343.91,23057,5992,17150,26266159073,7597685930,420280077,15595863,0.623063805,12.843995,0.479676,0.28925759220768427
3000,128,14409.13,19236,5567,18959,28427786055,8446403638,595929813,19468817,0.650623226,13.943444,0.447761,0.2971178839484199
4000,1,3412.19,769,14,14300,6596941410,11797088612,412174163,34242572,2.925094998,3.309863,0.103995,1.7882663917732142
4000,1,3587.82,715,7,14279,6727903092,11816845379,428787126,37350660,2.999406795,3.475155,0.114005,1.756393517773933
4000,1,3546.2,762,12,14263,6639916752,11842191927,419992312,36061259,2.959888052,3.442395,0.105042,1.7834849997830213
4000,1,3566.02,702,7,14250,6685934739,11782409650,422251867,36738516,2.994955107,3.472879,0.09424,1.762268121055915
4000,1,3578.95,773,9,14249,6694453666,11787585429,423224789,36766054,2.989928808,3.488292,0.091928,1.760798717431888
4000,2,5289.67,1106,25,14532,9227128117,12782791351,612514448,62984868,2.247225751,5.178289,0.113896,1.3853488527431488
4000,2,4856.59,1174,20,14995,8286035846,12272558369,514319747,50583367,1.979237498,4.745627,0.113229,1.4811133571096549
4000,2,4382.35,1084,11,14468,7785172393,12324784841,524303235,51093114,1.881181882,4.273964,0.111363,1.58311007371934
4000,2,5035.44,1165,17,17088,8799005264,12790142771,612067632,65236458,2.128750635,4.924855,0.112927,1.453589626014798
4000,2,4433.54,970,17,14527,7746950069,12485361337,546456273,61517765,1.921710493,4.323778,0.111864,1.611648613428026
4000,4,5908.48,2225,20,14114,9291161980,12145765057,500311254,41752540,1.367361024,5.759417,0.153186,1.3072385438059062
4000,4,7299.43,2385,21,17605,11623453402,12796554911,604839984,62540759,1.580497813,7.155121,0.148334,1.100925384946108
4000,4,6411.09,2283,31,14187,10423856771,12609021074,577049544,56289538,1.46001953,6.249168,0.16809,1.209631075234965
4000,4,5431.33,1970,23,13790,8769128882,12092765351,477098942,47070150,1.293935748,5.307559,0.126442,1.379015579965107
4000,4,5187.37,2061,28,13483,8139439741,11781876763,417383294,37394509,1.248708619,5.072085,0.117584,1.4475046364250737
4000,8,6519.58,2922,27,14520,12111288164,12363858721,525750355,51063622,0.90696729,6.375617,0.146991,1.0208541447928512
4000,8,7968.79,3114,33,16115,14955832675,12650883909,590016055,47810671,1.059679312,7.816388,0.155485,0.8458829530867294
4000,8,5869.45,3235,16,16047,10757301560,12156059583,494246167,39716866,0.805061022,5.714802,0.159269,1.1300287079615903
4000,8,5411.61,3077,22,15507,9836931097,12095413022,497989233,40768309,0.76107251,5.279529,0.135165,1.2295921261142895
4000,8,8166.86,3206,34,16688,14861407401,12743051821,614051953,50269813,1.099425122,8.026984,0.142875,0.8574592888249966
4000,16,5608.53,5726,33,12445,10765174486,11597171136,371857361,15758752,0.532738422,5.477301,0.135636,1.0772859419122285
4000,16,6262.86,5735,38,12691,11999144584,11651650815,379158730,17769335,0.559548491,6.109346,0.158788,0.9710401215213826
4000,16,6971.74,5506,49,12521,13371131360,11713845869,392709713,20353564,0.596275857,6.828645,0.147294,0.8760549540364398
4000,16,6696.51,5200,45,12011,11719707176,11469407103,376337409,17413213,0.630345396,6.550553,0.152128,0.9786428048720729
4000,16,5888.87,5567,38,12589,11084546009,11700205669,394142044,18264937,0.531731872,5.745081,0.151106,1.0555421628905794
4000,32,11579.6,9175,639,14240,22519055831,11910296839,425751946,15616037,0.570371112,11.356826,0.212481,0.5288985883060046
4000,32,10478.06,8990,603,14149,20377689482,11934921199,432662749,15838900,0.55467183,10.204422,0.26191,0.5856856936377572
4000,32,11226.9,10118,613,14182,20826490589,11853513553,416958751,17861195,0.637096993,10.95347,0.26225,0.5691555906812601
4000,32,11081.14,10462,610,14433,21474876670,11764595377,429051704,14382863,0.58439199,10.800699,0.26917,0.5478306375298033
4000,32,10539.14,9867,498,13821,20488143813,11574359904,392485550,13538650,0.541771789,10.278155,0.253384,0.5649296495398434
4000,64,12239.46,15119,3845,16989,24014899801,11991832822,470844173,15685276,0.598835252,11.84252,0.373773,0.49934969212324803
4000,64,14871.42,15735,3848,17628,29306115584,12074021632,482726676,15895652,0.672394814,14.489692,0.358933,0.41199665637679894
4000,64,11835.77,13884,3817,17951,23170643460,11924344709,456824544,15231851,0.580550603,11.438755,0.377177,0.5146315737664025
4000,64,13264.57,13052,3507,18286,26052541516,12203173024,512111591,16460309,0.639298246,12.881625,0.362142,0.4684062403856261
4000,64,15057.43,15294,3920,19300,29663288596,12380897606,513849903,17279887,0.682189832,14.622044,0.413294,0.4173811533381206
4000,128,22886.57,19220,5308,23423,45286185259,13284940803,699315727,20680159,0.927471688,22.365463,0.505174,0.2933552633550604
4000,128,32478.51,26227,6122,20152,64477983058,13706222121,773339520,21189578,1.230040385,32.006294,0.452325,0.21257212882528934
4000,128,32168.59,30930,6426,22507,63700452088,14059229292,830303382,21411194,1.225970472,31.605815,0.541099,0.2207084695816233
4000,128,20030.3,16766,5576,21943,39652918214,12704973867,604902951,18472638,0.843882925,19.51922,0.496327,0.3204045109223345
4000,128,16572.5,26026,6207,20927,32696727122,12545177905,573388232,18053216,0.724307677,16.023715,0.522816,0.38368298631819253
5000,1,4786.64,764,10,15277,9103192951,17672804257,520197264,37636628,4.173677039,4.685106,0.103266,1.941385220782189
5000,1,4771.76,748,17,15376,9088904862,17662441386,518494003,37083003,4.169184501,4.638001,0.136675,1.9432969817788814
5000,1,4674.41,753,4,15315,8990836607,17608999176,508410827,34974740,4.140919872,4.592066,0.084092,1.958549570602824
5000,1,4741.07,793,14,15405,9061698668,17641962716,513955106,36656789,4.156342488,4.640671,0.102102,1.9468714820875568
5000,1,4694.03,769,10,15269,9007845890,17616180596,509721090,35206898,4.138363483,4.56102,0.134705,1.9556485325261266
5000,2,5610.65,1052,18,17815,10043660431,18459372668,684007621,58214777,2.417631604,5.501063,0.111223,1.8379128600390253
5000,2,6419.28,1041,15,18226,11502346227,18557474981,695746841,57763348,2.825554304,6.303415,0.11797,1.6133643184413249
5000,2,5210.09,1102,15,14647,9134718115,17202116788,455099503,21759360,2.374800645,5.095672,0.116946,1.8831579224927184
5000,2,5808.74,1091,14,17096,10245836626,18534681941,684873088,59291016,2.507688937,5.683201,0.128094,1.8089964360710273
5000,2,5098.34,1072,12,13312,9009421003,17065047654,420195313,19093513,2.39019117,4.989788,0.110884,1.894133668336467
5000,4,8289.12,2655,34,17310,12019835766,18011630337,589643139,39976073,1.879109925,8.09734,0.19864,1.4984922163369931
5000,4,7210.81,2670,27,16345,10959815089,17966403096,574678852,41933048,1.639829584,7.043124,0.172125,1.63929801279515
5000,4,7799.29,2290,44,18452,12293760349,18102258413,605466822,47452747,1.816511296,7.639023,0.163828,1.4724752963378267
5000,4,9004.78,2851,29,17749,13266870199,18183216165,621820069,49732953,1.945875982,8.807471,0.201124,1.3705731564608639
5000,4,6938.67,2407,45,14262,10629268469,17626134543,518344260,40189245,1.635307432,6.789287,0.152455,1.6582641217884548
5000,8,8086.27,3883,30,14738,14788394500,17979928828,588739067,48268467,1.073715702,7.960129,0.130051,1.215813442628948
5000,8,8209.39,3677,34,15252,15478194888,18138379323,632214014,53950068,1.088864832,8.082031,0.131,1.1718665809707822
5000,8,10532.8,3825,20,19542,19274540922,18964461669,761343783,61922761,1.353843363,10.388984,0.148613,0.9839124960612642
5000,8,8546.87,3668,32,18189,15599438210,18189297572,689780873,57089396,1.109522658,8.400849,0.150086,1.1660226046050668
5000,8,7595.89,4492,26,15297,13665025995,17720132231,553784505,40869431,1.003947542,7.441686,0.158355,1.2967507151090494
5000,16,7761.65,6683,49,13393,14715783548,17266800322,462749648,16489522,0.668949306,7.592155,0.180789,1.1733524256917127
5000,16,7892.99,7063,63,13664,15155135482,17639808761,493099894,20266711,0.672662164,7.745878,0.152351,1.1639492620802425
5000,16,9716.84,6737,32,19947,18822407534,18117974810,674093751,33657036,0.760868353,9.501593,0.225108,0.9625747810035702
5000,16,7940.86,6920,46,13803,15292286073,17709788634,507049508,21032637,0.676386068,7.7796,0.168207,1.1580864070590684
5000,16,8317.3,6754,46,13324,15791418206,17359335231,479941997,20896734,0.698174361,8.161444,0.162451,1.0992891838178451
5000,32,12266.68,12832,379,14979,22383132026,17359046625,478093665,15569964,0.67938472,12.009656,0.261646,0.7755414481242358
5000,32,11892.86,11471,571,15986,22408685715,17837715621,532633829,19195571,0.65834527,11.613948,0.279345,0.7960179301840862
5000,32,13927.5,12454,511,14898,27265538099,17579926167,517240700,14371930,0.659758199,13.64263,0.267541,0.6447672553964657
5000,32,12804.25,10421,597,14918,24926618824,17643465907,532532869,15484864,0.629664368,12.525847,0.26625,0.7078162518380716
5000,32,12461.2,11107,661,15326,23290801468,17914690693,540759373,19964482,0.699472748,12.156117,0.299691,0.7691745051201259
5000,64,14943.0,20298,5539,18757,29350668240,18183860829,590702351,17045771,0.707523505,14.510218,0.39565,0.6195382224455956
5000,64,16209.69,18298,5287,19941,31946763818,18180482917,630176926,18704103,0.715841851,15.706253,0.472203,0.5690868414896045
5000,64,15439.24,19785,5492,18613,30342579053,18166017095,586895366,16659792,0.702428456,15.007125,0.399211,0.5986971991823453
5000,64,15996.77,17299,4771,19024,31375583942,18174694013,621864735,18454840,0.705627705,15.587504,0.381333,0.5792623348970083
5000,64,15203.77,17706,4510,19169,29916446165,18207821318,596598182,17312930,0.700039034,14.787629,0.38928,0.6086224686440793
5000,128,25601.29,25209,6800,26493,50706498765,21782831152,1362789429,31513380,1.009738459,25.048913,0.533104,0.429586575341217
5000,128,17626.66,25898,7130,21683,34834271642,18624747699,721545144,20634407,0.777124038,17.084783,0.520115,0.5346673497413958
5000,128,21032.93,27924,7406,21743,41565080666,18370974280,661699347,17954661,0.878983757,20.490357,0.524292,0.4419809605957857
5000,128,32367.25,35124,7993,25010,64208545615,19838426754,917269101,22520830,1.238191757,31.741406,0.601071,0.30896863593442725
5000,128,24683.55,23653,6777,27484,48785426160,21059427823,1194959770,27520548,0.991645364,24.087718,0.579717,0.43167456924393915
6000,1,6078.55,780,14,16731,11767360836,24602278957,615513908,33750940,5.532744472,5.956982,0.122917,2.0907218959185827
